Mat,sampleID,mom_ID,mom_rep,protein_per_egg_ng
W,SPL1,W1,W1_1,42.58076923
W,SPL3,W1,W1_3,37.98461538
C,SPL4,C1,C1_1,36.04230769
C,SPL5,C1,C1_2,35.31153846
C,SPL6,C1,C1_3,34.29230769
W,SPL7,W2,W2_1,45.27307692
W,SPL8,W2,W2_2,42.42692308
W,SPL9,W2,W2_3,44.08076923
C,SPL10,C2,C2_1,39.54230769
C,SPL11,C2,C2_2,37.25384615
C,SPL12,C2,C2_3,39.56153846
W,SPL13,W3,W3_1,35.77307692
W,SPL14,W3,W3_2,37.50384615
W,SPL15,W3,W3_3,33.21538462
C,SPL16,C3,C3_1,33.1
C,SPL17,C3,C3_2,34.40769231
C,SPL18,C3,C3_3,33.40769231
W,SPL19,W4,W4_1,41.75384615
W,SPL20,W4,W4_2,44.67692308
W,SPL21,W4,W4_3,40.1
C,SPL22,C4,C4_1,28.83076923
C,SPL23,C4,C4_2,35.98461538
C,SPL24,C4,C4_3,36.52307692
W,SPL25,W5,W5_1,39.48461538
W,SPL26,W5,W5_2,39.86923077
W,SPL27,W5,W5_3,38.90769231
C,SPL28,C5,C5_1,32.36923077
C,SPL29,C5,C5_2,34.40769231
C,SPL30,C5,C5_3,28.27307692