Mat,Dev,vial_no,temp_C,stage,treatment,dead,alive,total,prop_alive
C,C,14,20.9,HB,CC,12,88,100,0.88
C,C,11,17.9,HB,CC,0,100,100,1
C,W,2,20.3,HB,CW,1,102,103,0.990291262
C,W,1,17.5,HB,CW,27,64,91,0.703296703
W,C,6,17.9,HB,WC,1,99,100,0.99
W,C,17,21,HB,WC,0,109,109,1
W,W,19,20.2,HB,WW,8,47,55,0.854545455
W,W,17,17.5,HB,WW,4,73,77,0.948051948
C,C,5,31.5,HB,CC,100,0,100,0
C,C,2,25.2,HB,CC,0,100,100,1
C,C,4,26.5,HB,CC,5,101,106,0.952830189
C,C,8,28.4,HB,CC,100,0,100,0
C,C,16,30.1,HB,CC,100,0,100,0
C,W,20,28,HB,CW,25,75,100,0.75
C,W,10,29.5,HB,CW,100,0,100,0
C,W,7,26.5,HB,CW,2,98,100,0.98
C,W,18,31.4,HB,CW,100,0,100,0
C,v,6,24.8,HB,CW,6,93,99,0.939393939
W,C,20,28.3,HB,WC,47,53,100,0.53
W,C,7,26.6,HB,WC,3,97,100,0.97
W,C,1,31.4,HB,WC,100,6,106,0.056603774
W,C,10,25.3,HB,WC,0,100,100,1
W,C,18,30.2,HB,WC,100,0,100,0
W,W,12,24.8,HB,WW,1,99,100,0.99
W,W,14,29.5,HB,WW,100,0,100,0
W,W,3,31.2,HB,WW,100,0,100,0
W,W,8,27.9,HB,WW,0,67,67,1
W,W,9,26.4,HB,WW,7,93,100,0.93